video_id,item_id,release_date,status,channel_id,channel_name,subscribers,views,likes,comments,duration,live_status
2XD1VuIYTsU,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS42NEE1NUNFRUEwNzI1Q0Y0,2023-01-15 12:30:10+00:00,public,UCbDgBFAketcO26wz-pR6OKA,Anjunadeep,542000,21309,769,94,7843.0,none
IVzgEBpOAvw,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5GQTY3QjkxOTlCQzU4NTlC,2023-01-15 13:39:39+00:00,public,UCO0sfpPwj3PGVVH_jiqBA6A,Future House Cloud,266000,2673,84,12,5437.0,none
Kz5pXEpqEqU,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4xNEU0QkIwNDE5QTMzMjMx,2023-01-15 14:43:17+00:00,public,UCiJnBO_XuDsi1SSRAmt4n5g,NCS Arcade,179000,21491,848,127,3017.0,none
_sCWZeZLRMk,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS44NDQ2Q0YyM0VBNzYxNTJD,2023-01-16 10:12:29+00:00,public,UCdUXAN90UQV4sxNehj5Vflw,Nora En Pure,339000,40531,1052,99,3599.0,none
qqIWLAZDY5g,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4zNkU5OUMzNzNFMEEwNEUx,2023-01-16 12:00:35+00:00,public,UCGZXYc32ri4D0gSLPf2pZXQ,Armada Music TV,5100000,23422,297,57,3604.0,none
N8XYSQY3z_0,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DMTY1Mzc1QjRBNTM5MURF,2023-01-16 16:00:18+00:00,public,UC5H_KXkPbEsGs0tFt8R35mA,Martin Garrix,14500000,25597,1219,133,3600.0,none
m5zX6xBp0XQ,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5EODAxMDM2RDQxOUQwRkIy,2023-01-17 18:08:52+00:00,public,UCC1qRH2kSGu7AzBwqEPVnjg,Anjunabeats,311000,4826,229,21,7240.0,none
QX0jBEHGcTI,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4zNjkwOEVDNDhGOTA4QzE0,2023-01-18 09:56:05+00:00,public,UC8eXqFK48M3bBSmMO1FRgIA,drumcodeofficial,356000,7876,307,31,3600.0,none
QwLB2cWVVpA,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DMUIxOTZFRDNDMjU5Nzg2,2023-01-18 23:10:51+00:00,public,UCNVeD_tHABqF-fvbe20ZsPA,Aly & Fila,144000,8544,342,35,7130.0,none
LNGiIbNHJDQ,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS43OUQxQkZGNzZCNzJEMjJG,2023-01-19 16:00:10+00:00,public,UCiiN5Ld9pGMwcYrLUJfYlCQ,Mixmash Records,137000,240,19,1,3619.0,none
FT4hitHokpo,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4xRDNCNzJGRkIxNzNDMTcz,2023-01-19 16:28:27+00:00,public,UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,29900000,16674,540,16,3299.0,none
pPo7ZS7BFxM,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45NkUwQ0NENDQ3REM0RERC,2023-01-19 16:41:48+00:00,public,UCRD5h8GEUzygdTL_sdU9_DQ,Tom & Jame,5230,449,25,10,2818.0,none
-yyevG2P4_U,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS41RjA2RTAyRENDRTUyQ0U5,2023-01-19 17:00:08+00:00,public,UCbDgBFAketcO26wz-pR6OKA,Anjunadeep,543000,34441,1236,158,3840.0,none
MZZD-HtQP6c,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS43OEFDM0Q4REIzREZBNEY4,2023-01-19 17:08:53+00:00,public,UCbDgBFAketcO26wz-pR6OKA,Anjunadeep,543000,6787,232,19,3490.0,none
U-5DVSaxi54,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS43MkM2QkVFRDVBNDk1NDdB,2023-01-19 21:04:07+00:00,public,UCLFiirHOF-wa3QRExEa4m8A,Nicky Romero,1530000,726,113,1,3406.0,none
Oh2SF8io8gY,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS42NjI4MEEwQUI1MEIwOEVB,2023-01-19 23:35:22+00:00,public,UCu5jfQcpRLm9xhmlSd5S8xw,Armin van Buuren,5430000,205886,7434,583,12744.0,none
k2Ar26B0LlI,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45RTA1QUExQTlEOUIxRjM4,2023-01-20 09:00:29+00:00,public,UCO0sfpPwj3PGVVH_jiqBA6A,Future House Cloud,267000,72127,363,10,4450.0,none
qpSBYrwlJdQ,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5FQzQ2MTg2OTEzQUI3NDU5,2023-01-20 15:00:40+00:00,public,UCPk3RMMXAfLhMJPFpQhye9g,Tiësto,6370000,66220,1979,177,3517.0,none
H59bAAJyVjc,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4zQzVBQUY2NDAwQTgxODcz,2023-01-20 17:30:07+00:00,public,UCDVKYPXwdYUQfgA05CkyFSg,GameChops,537000,5082,374,18,1007.0,none
kp-yglDMV84,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5BQkJGMzVGMDQ5MENGQjEw,2023-01-20 21:00:09+00:00,public,UCmKm7HJdOfkWLyml-fzKlVg,Afrojack,2540000,6897,286,23,3591.0,none
DMzYrJEO0rs,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS40MkFEQTBGM0Q3REE5MUUy,2023-01-20 21:00:09+00:00,public,UCd61k-5ykv_4RIbQg-Mpvrg,Timmy Trumpet,616000,16212,501,98,3623.0,none
